Generation, Best Fitness, Best Genome
None,-inf,None
6,-12.4,012340314430034504310041036503421632261346140022464033126134102034001363215524011302435661331645551123046260664641106206311201513332611323453155445661334655244454216126544110665214510322433654022514632222263225336521344451615053125253452515546
10,-7.84,012340310430034504310041036123421632261345211215303001146056050232262416515524011302435661331645551123046260664641106206311201513332611323453155445661334655244254216126544110665214510322436654022514432222263225336521314451615053125253452515016
10,-7.84,012340310430034504310041036123421632261345211215303001146056050232262416515524011302435661331645551123046260664641106206311201513332611323453155445661334655244254216126544110665214510322436654022514432222263225336521314451615053125253452515016
10,-7.84,012340310430034504310041036123421632261345211215303001146056050232262416515524011302435661331645551123046260664641106206311201513332611323453155445661334655244254216126544110665214510322436654022514432222263225336521314451615053125253452515016
10,-7.84,012340310430034504310041036123421632261345211215303001146056050232262416515524011302435661331645551123046260664641106206311201513332611323453155445661334655244254216126544110665214510322436654022514432222263225336521314451615053125253452515016
53,-1.6,043340412430034504610041036503420032204346143022463533126103142034054563215524011302430161131246551123046260164641106206311501515332611323454555441101312521446036662126544110665214510322423654022514631222263225336551314411635052123263452515016
53,-1.6,043340412430034504610041036503420032204346143022463533126103142034054563215524011302430161131246551123046260164641106206311501515332611323454555441101312521446036662126544110665214510322423654022514631222263225336551314411635052123263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
74,0.0,046340412430034504100041002503420042621346143021463533126106142034052663215524011302430166131245554120046260164641106206341506515142611323454555461101312521446036662126524110665214510322423654222614631222263225336151314451636003163263452515016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
201,2.0,446331410430034500000041042503440026651346143063433633326556642034002663233504021152240160033242554133066562166456006106211521514262611433352545402224312445446033612420104113535514150322423654622614631422260425316134324266633003123163514115016
283,9.0,456351460430034500050016042041040026655046145653555633326526655034301323233514602051242160033241155153036562366456006603211524514162614431452545432224322445446043612420000113535514150354020654402604635124213525310644324166343553144261514466113
